smiles,logSolubility,ROMol,n_Atoms
Brc1ccc(I)cc1,-4.56,<rdkit.Chem.rdchem.Mol object at 0x15206cca3a50>,8
CCC(C)(O)CC,-0.36,<rdkit.Chem.rdchem.Mol object at 0x15206cca3ac0>,7
CCCCCc1ccccc1,-4.64,<rdkit.Chem.rdchem.Mol object at 0x15206cca3b30>,11
NC(=O)NC1NC(=O)NC1=O,-1.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca3ba0>,11
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.5710000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cca3c10>,26
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,<rdkit.Chem.rdchem.Mol object at 0x15206cca3c80>,18
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,<rdkit.Chem.rdchem.Mol object at 0x15206cca3cf0>,24
Clc1cccc2ccccc12,-3.93,<rdkit.Chem.rdchem.Mol object at 0x15206cca3d60>,11
CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.749,<rdkit.Chem.rdchem.Mol object at 0x15206cca3dd0>,19
CCCCC(C)O,-0.89,<rdkit.Chem.rdchem.Mol object at 0x15206cca3e40>,7
CCCC1CCCC1,-4.74,<rdkit.Chem.rdchem.Mol object at 0x15206cca3eb0>,8
CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735,<rdkit.Chem.rdchem.Mol object at 0x15206cca3f20>,18
Oc1ccc(Cl)c(Cl)c1,-1.25,<rdkit.Chem.rdchem.Mol object at 0x15206cca3f90>,9
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c040>,28
c1ccc2ocnc2c1,-1.16,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c0b0>,9
CCCCCO,-0.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c120>,6
CCN(CC)c1ccccc1,-3.03,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c190>,11
Fc1cccc(F)c1,-2.0,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c200>,8
N#CCCCl,-0.29,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c270>,5
CC(C)(C)Cc1ccccc1,-4.15,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c2e0>,11
Clc1ccccc1I,-3.54,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c350>,8
c1ccc2[nH]nnc2c1,-0.78,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c3c0>,9
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c430>,16
Cc1cccc(C)c1O,-1.29,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c4a0>,9
CC(C)C(C)O,-0.18,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c510>,6
OC(c1ccccc1)c1ccccc1,-2.55,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c580>,14
CCCCCCCCCC(=O)OC,-4.69,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c5f0>,13
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c660>,17
CC(C)CBr,-2.43,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c6d0>,5
CCI,-1.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c740>,3
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c7b0>,17
CCCCCCBr,-3.81,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c820>,7
CCCC(C)C,-3.74,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c890>,6
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.3210000000000015,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c900>,27
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c970>,19
O=[N+]([O-])c1ccc(C=NO)o1,-2.19,<rdkit.Chem.rdchem.Mol object at 0x15206cc8c9e0>,11
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,<rdkit.Chem.rdchem.Mol object at 0x15206cc8ca50>,35
Nc1nc[nH]n1,0.522,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cac0>,6
BrC(Br)Br,-1.91,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cb30>,4
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cba0>,12
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.233,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cc10>,21
OCc1ccccc1,-0.4,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cc80>,8
O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-2.84,<rdkit.Chem.rdchem.Mol object at 0x15206cc8ccf0>,22
Oc1ccc(Br)cc1,-1.09,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cd60>,8
CC(C)Br,-1.59,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cdd0>,4
CC(C)CC(C)(C)C,-4.74,<rdkit.Chem.rdchem.Mol object at 0x15206cc8ce40>,8
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89,<rdkit.Chem.rdchem.Mol object at 0x15206cc8ceb0>,15
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.796,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cf20>,22
CCC,-1.94,<rdkit.Chem.rdchem.Mol object at 0x15206cc8cf90>,3
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.989,<rdkit.Chem.rdchem.Mol object at 0x15206cca4040>,15
Nc1cccc2nc3ccccc3cc12,-4.22,<rdkit.Chem.rdchem.Mol object at 0x15206cca40b0>,15
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,<rdkit.Chem.rdchem.Mol object at 0x15206cca4120>,20
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666,<rdkit.Chem.rdchem.Mol object at 0x15206cca4190>,20
c1cc2c3c(cccc3c1)CC2,-4.63,<rdkit.Chem.rdchem.Mol object at 0x15206cca4200>,12
Brc1ccc(Br)cc1,-4.07,<rdkit.Chem.rdchem.Mol object at 0x15206cca4270>,8
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,<rdkit.Chem.rdchem.Mol object at 0x15206cca42e0>,16
Oc1ccc(-c2ccccc2)cc1,-3.48,<rdkit.Chem.rdchem.Mol object at 0x15206cca4350>,13
CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,<rdkit.Chem.rdchem.Mol object at 0x15206cca43c0>,16
C=COCC,-0.85,<rdkit.Chem.rdchem.Mol object at 0x15206cca4430>,5
C#CCC,-1.24,<rdkit.Chem.rdchem.Mol object at 0x15206cca44a0>,4
COc1ncnc2nccnc12,-1.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca4510>,12
CCCCC(C)(O)CC,-1.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca4580>,9
Clc1ccc(Cl)cc1,-3.27,<rdkit.Chem.rdchem.Mol object at 0x15206cca45f0>,8
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,<rdkit.Chem.rdchem.Mol object at 0x15206cca4660>,24
CSC[S+]([O-])CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,<rdkit.Chem.rdchem.Mol object at 0x15206cca46d0>,23
Cc1c[nH]c2ccccc12,-2.42,<rdkit.Chem.rdchem.Mol object at 0x15206cca4740>,10
COc1ncc2nccnc2n1,-1.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca47b0>,12
CNC(=O)Oc1ccccc1C1OCCO1,-1.57,<rdkit.Chem.rdchem.Mol object at 0x15206cca4820>,16
CC(C)CNC(=O)N1CCNC1=O,-2.15,<rdkit.Chem.rdchem.Mol object at 0x15206cca4890>,13
CC#N,0.26,<rdkit.Chem.rdchem.Mol object at 0x15206cca4900>,3
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7,<rdkit.Chem.rdchem.Mol object at 0x15206cca4970>,22
CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1,-3.59,<rdkit.Chem.rdchem.Mol object at 0x15206cca49e0>,20
ClCC(Cl)(Cl)Cl,-2.18,<rdkit.Chem.rdchem.Mol object at 0x15206cca4a50>,6
CCCCO,0.0,<rdkit.Chem.rdchem.Mol object at 0x15206cca4ac0>,5
CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca4b30>,17
Clc1cc(Cl)cc(Cl)c1,-4.48,<rdkit.Chem.rdchem.Mol object at 0x15206cca4ba0>,9
O=Cc1ccco1,-0.1,<rdkit.Chem.rdchem.Mol object at 0x15206cca4c10>,7
CC(C)CCO,-0.51,<rdkit.Chem.rdchem.Mol object at 0x15206cca4c80>,6
O=Cc1ccc2c(c1)OCO2,-1.63,<rdkit.Chem.rdchem.Mol object at 0x15206cca4cf0>,11
C=C(C)C,-2.33,<rdkit.Chem.rdchem.Mol object at 0x15206cca4d60>,4
O=Cc1ccccc1,-1.19,<rdkit.Chem.rdchem.Mol object at 0x15206cca4dd0>,8
C=C(C)C(=C)C,-2.4,<rdkit.Chem.rdchem.Mol object at 0x15206cca4e40>,6
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71,<rdkit.Chem.rdchem.Mol object at 0x15206cca4eb0>,28
CN1C(=O)c2cccnc2Oc2ccccc21,-3.672,<rdkit.Chem.rdchem.Mol object at 0x15206cca4f20>,17
c1ccc2c(c1)Cc1ccccc1-2,-5.0,<rdkit.Chem.rdchem.Mol object at 0x15206cca4f90>,13
CC1CCCCC1,-3.85,<rdkit.Chem.rdchem.Mol object at 0x15206cca5040>,7
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,<rdkit.Chem.rdchem.Mol object at 0x15206cca50b0>,14
COC(=O)c1ccc(O)cc1,-1.827,<rdkit.Chem.rdchem.Mol object at 0x15206cca5120>,11
CC1CCCO1,0.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca5190>,6
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,<rdkit.Chem.rdchem.Mol object at 0x15206cca5200>,18
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,<rdkit.Chem.rdchem.Mol object at 0x15206cca5270>,20
CCCI,-2.29,<rdkit.Chem.rdchem.Mol object at 0x15206cca52e0>,4
CCNc1nc(NC(C)C)nc(SC)n1,-3.04,<rdkit.Chem.rdchem.Mol object at 0x15206cca5350>,15
CCCO,0.62,<rdkit.Chem.rdchem.Mol object at 0x15206cca53c0>,4
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,<rdkit.Chem.rdchem.Mol object at 0x15206cca5430>,24
CCCC(C)O,-0.29,<rdkit.Chem.rdchem.Mol object at 0x15206cca54a0>,6
O=C(c1ccccc1)C(O)c1ccccc1,-2.85,<rdkit.Chem.rdchem.Mol object at 0x15206cca5510>,16
Cc1ccc(O)c(C)c1,-1.19,<rdkit.Chem.rdchem.Mol object at 0x15206cca5580>,9
O=[N+]([O-])c1cccc(Cl)c1,-2.77,<rdkit.Chem.rdchem.Mol object at 0x15206cca55f0>,10
Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624,<rdkit.Chem.rdchem.Mol object at 0x15206cca5660>,15
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,<rdkit.Chem.rdchem.Mol object at 0x15206cca56d0>,16
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,<rdkit.Chem.rdchem.Mol object at 0x15206cca5740>,10
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0,<rdkit.Chem.rdchem.Mol object at 0x15206cca57b0>,16
CCC(C)CCO,-0.71,<rdkit.Chem.rdchem.Mol object at 0x15206cca5820>,7
Cc1ncc2nccnc2n1,-0.12,<rdkit.Chem.rdchem.Mol object at 0x15206cca5890>,11
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.5070000000000014,<rdkit.Chem.rdchem.Mol object at 0x15206cca5900>,25
CCCCI,-2.96,<rdkit.Chem.rdchem.Mol object at 0x15206cca5970>,5
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081,<rdkit.Chem.rdchem.Mol object at 0x15206cca59e0>,55
FC(F)(F)c1ccccc1,-2.51,<rdkit.Chem.rdchem.Mol object at 0x15206cca5a50>,10
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,<rdkit.Chem.rdchem.Mol object at 0x15206cca5ac0>,24
c1ccc2c(c1)sc1ccccc12,-4.38,<rdkit.Chem.rdchem.Mol object at 0x15206cca5b30>,13
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8,<rdkit.Chem.rdchem.Mol object at 0x15206cca5ba0>,17
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01,<rdkit.Chem.rdchem.Mol object at 0x15206cca5c10>,18
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.893,<rdkit.Chem.rdchem.Mol object at 0x15206cca5c80>,23
OC(c1ccccc1)C(O)c1ccccc1,-1.93,<rdkit.Chem.rdchem.Mol object at 0x15206cca5cf0>,16
COC(=O)c1ccccc1C(=O)OC,-1.66,<rdkit.Chem.rdchem.Mol object at 0x15206cca5d60>,14
CCCCCCCC(=O)OCC,-3.39,<rdkit.Chem.rdchem.Mol object at 0x15206cca5dd0>,12
CCSSCC,-2.42,<rdkit.Chem.rdchem.Mol object at 0x15206cca5e40>,6
CCOCCOCC,-0.77,<rdkit.Chem.rdchem.Mol object at 0x15206cca5eb0>,8
Clc1cc(Cl)c(Cl)cc1Cl,-5.56,<rdkit.Chem.rdchem.Mol object at 0x15206cca5f20>,10
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,<rdkit.Chem.rdchem.Mol object at 0x15206cca5f90>,14
C=CCCCCC,-3.73,<rdkit.Chem.rdchem.Mol object at 0x15206cca6040>,7
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,<rdkit.Chem.rdchem.Mol object at 0x15206cca60b0>,15
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,<rdkit.Chem.rdchem.Mol object at 0x15206cca6120>,16
Nc1ccccc1Cl,-1.52,<rdkit.Chem.rdchem.Mol object at 0x15206cca6190>,8
COc1cccc(Cl)c1,-2.78,<rdkit.Chem.rdchem.Mol object at 0x15206cca6200>,9
CCCCN(CC)C(=O)SCCC,-3.53,<rdkit.Chem.rdchem.Mol object at 0x15206cca6270>,13
CCCCOC=O,-1.37,<rdkit.Chem.rdchem.Mol object at 0x15206cca62e0>,7
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18,<rdkit.Chem.rdchem.Mol object at 0x15206cca6350>,26
ClC(Cl)Br,-1.54,<rdkit.Chem.rdchem.Mol object at 0x15206cca63c0>,4
CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48,<rdkit.Chem.rdchem.Mol object at 0x15206cca6430>,22
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,<rdkit.Chem.rdchem.Mol object at 0x15206cca64a0>,18
O=Cc1ccc(O)cc1,-0.96,<rdkit.Chem.rdchem.Mol object at 0x15206cca6510>,9
CBr,-0.79,<rdkit.Chem.rdchem.Mol object at 0x15206cca6580>,2
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,<rdkit.Chem.rdchem.Mol object at 0x15206cca65f0>,24
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839,<rdkit.Chem.rdchem.Mol object at 0x15206cca6660>,24
CCc1ccc2ccccc2c1,-4.29,<rdkit.Chem.rdchem.Mol object at 0x15206cca66d0>,12
Cc1c[nH]c(=O)nc1N,-1.4580000000000002,<rdkit.Chem.rdchem.Mol object at 0x15206cca6740>,9
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92,<rdkit.Chem.rdchem.Mol object at 0x15206cca67b0>,17
O=C(Nc1ccccc1)c1ccccc1I,-4.21,<rdkit.Chem.rdchem.Mol object at 0x15206cca6820>,16
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.685,<rdkit.Chem.rdchem.Mol object at 0x15206cca6890>,27
Fc1ccccc1Br,-2.7,<rdkit.Chem.rdchem.Mol object at 0x15206cca6900>,8
Oc1ccc(Cl)cc1Cl,-1.55,<rdkit.Chem.rdchem.Mol object at 0x15206cca6970>,9
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.291,<rdkit.Chem.rdchem.Mol object at 0x15206cca69e0>,26
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,<rdkit.Chem.rdchem.Mol object at 0x15206cca6a50>,23
CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907,<rdkit.Chem.rdchem.Mol object at 0x15206cca6ac0>,25
C1CCCC1,-2.64,<rdkit.Chem.rdchem.Mol object at 0x15206cca6b30>,5
Cc1ccccc1N,-2.21,<rdkit.Chem.rdchem.Mol object at 0x15206cca6ba0>,8
C=CCc1ccc(OC)cc1,-2.92,<rdkit.Chem.rdchem.Mol object at 0x15206cca6c10>,11
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,<rdkit.Chem.rdchem.Mol object at 0x15206cca6c80>,20
C=CC(C)C,-2.73,<rdkit.Chem.rdchem.Mol object at 0x15206cca6cf0>,5
Oc1ccccn1,1.02,<rdkit.Chem.rdchem.Mol object at 0x15206cca6d60>,7
CC,-1.36,<rdkit.Chem.rdchem.Mol object at 0x15206cca6dd0>,2
Clc1ccccc1Cl,-3.05,<rdkit.Chem.rdchem.Mol object at 0x15206cca6e40>,8
Sc1nc2ccccc2s1,-3.18,<rdkit.Chem.rdchem.Mol object at 0x15206cca6eb0>,10
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca6f20>,22
COc1c2occc2cc2ccc(=O)oc12,-3.664,<rdkit.Chem.rdchem.Mol object at 0x15206cca6f90>,16
CC(N)=O,1.58,<rdkit.Chem.rdchem.Mol object at 0x15206cca7040>,4
Cc1cccc2ccccc12,-3.7,<rdkit.Chem.rdchem.Mol object at 0x15206cca70b0>,11
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,<rdkit.Chem.rdchem.Mol object at 0x15206cca7120>,20
CC(O)C(C)(C)C,-0.62,<rdkit.Chem.rdchem.Mol object at 0x15206cca7190>,7
CCCC(=O)OCC,-1.36,<rdkit.Chem.rdchem.Mol object at 0x15206cca7200>,8
CC1=CC(=O)c2ccccc2C1=O,-3.03,<rdkit.Chem.rdchem.Mol object at 0x15206cca7270>,13
c1ccc2c(c1)ccc1ccccc12,-5.26,<rdkit.Chem.rdchem.Mol object at 0x15206cca72e0>,14
Cc1ccnc(C)c1,0.38,<rdkit.Chem.rdchem.Mol object at 0x15206cca7350>,8
CCCCCCCCCO,-3.01,<rdkit.Chem.rdchem.Mol object at 0x15206cca73c0>,10
BrCBr,-1.17,<rdkit.Chem.rdchem.Mol object at 0x15206cca7430>,3
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,<rdkit.Chem.rdchem.Mol object at 0x15206cca74a0>,28
Cc1ccc2cc(C)ccc2c1,-4.89,<rdkit.Chem.rdchem.Mol object at 0x15206cca7510>,12
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,<rdkit.Chem.rdchem.Mol object at 0x15206cca7580>,14
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,<rdkit.Chem.rdchem.Mol object at 0x15206cca75f0>,15
Nc1cccc([N+](=O)[O-])c1,-2.19,<rdkit.Chem.rdchem.Mol object at 0x15206cca7660>,10
CCCCCl,-2.03,<rdkit.Chem.rdchem.Mol object at 0x15206cca76d0>,5
O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,<rdkit.Chem.rdchem.Mol object at 0x15206cca7740>,22
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.445,<rdkit.Chem.rdchem.Mol object at 0x15206cca77b0>,24
Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2,<rdkit.Chem.rdchem.Mol object at 0x15206cca7820>,19
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955,<rdkit.Chem.rdchem.Mol object at 0x15206cca7890>,20
CCN1c2ccccc2N(C)C(=S)c2cccnc21,-4.706,<rdkit.Chem.rdchem.Mol object at 0x15206cca7900>,19
CC1CO1,-0.59,<rdkit.Chem.rdchem.Mol object at 0x15206cca7970>,4
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.796,<rdkit.Chem.rdchem.Mol object at 0x15206cca79e0>,21
CCNC(=S)NCC,-1.46,<rdkit.Chem.rdchem.Mol object at 0x15206cca7a50>,8
Oc1cc(Cl)cc(Cl)c1Cl,-2.67,<rdkit.Chem.rdchem.Mol object at 0x15206cca7ac0>,10
CCCCC(=O)OC,-1.34,<rdkit.Chem.rdchem.Mol object at 0x15206cca7b30>,8
Nc1ccccc1,-0.41,<rdkit.Chem.rdchem.Mol object at 0x15206cca7ba0>,7
Cc1cccc2c(C)cccc12,-4.678999999999999,<rdkit.Chem.rdchem.Mol object at 0x15206cca7c10>,12
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.63,<rdkit.Chem.rdchem.Mol object at 0x15206cca7c80>,17
C1=Cc2cccc3cccc1c23,-3.96,<rdkit.Chem.rdchem.Mol object at 0x15206cca7cf0>,12
CCCCCOC(=O)CC,-1.28,<rdkit.Chem.rdchem.Mol object at 0x15206cca7d60>,10
CCNc1nc(NC(C)C)nc(OC)n1,-2.084,<rdkit.Chem.rdchem.Mol object at 0x15206cca7dd0>,15
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.699,<rdkit.Chem.rdchem.Mol object at 0x15206cca7e40>,20
CCBr,-1.09,<rdkit.Chem.rdchem.Mol object at 0x15206cca7eb0>,3
CCC#CCC,-1.99,<rdkit.Chem.rdchem.Mol object at 0x15206cca7f20>,6
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.292999999999998,<rdkit.Chem.rdchem.Mol object at 0x15206cca7f90>,54
C=C(C)CC,-2.73,<rdkit.Chem.rdchem.Mol object at 0x15206cca8040>,5
Oc1cccc2cccnc12,-2.42,<rdkit.Chem.rdchem.Mol object at 0x15206cca80b0>,11
c1ccc2c(c1)CCCC2,-4.37,<rdkit.Chem.rdchem.Mol object at 0x15206cca8120>,10
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9,<rdkit.Chem.rdchem.Mol object at 0x15206cca8190>,24
Brc1cc(Br)cc(Br)c1,-5.6,<rdkit.Chem.rdchem.Mol object at 0x15206cca8200>,9
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,<rdkit.Chem.rdchem.Mol object at 0x15206cca8270>,16
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436,<rdkit.Chem.rdchem.Mol object at 0x15206cca82e0>,9
C=CCc1ccc(O)c(OC)c1,-1.56,<rdkit.Chem.rdchem.Mol object at 0x15206cca8350>,12
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.7080000000000002,<rdkit.Chem.rdchem.Mol object at 0x15206cca83c0>,15
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,<rdkit.Chem.rdchem.Mol object at 0x15206cca8430>,16
CCOC(C)OCC,-0.43,<rdkit.Chem.rdchem.Mol object at 0x15206cca84a0>,8
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338,<rdkit.Chem.rdchem.Mol object at 0x15206cca8510>,16
CCCCOCCO,-0.42,<rdkit.Chem.rdchem.Mol object at 0x15206cca8580>,8
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82,<rdkit.Chem.rdchem.Mol object at 0x15206cca85f0>,14
O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.047,<rdkit.Chem.rdchem.Mol object at 0x15206cca8660>,19
c1ccc2ncccc2c1,-1.3,<rdkit.Chem.rdchem.Mol object at 0x15206cca86d0>,10
COC(=O)c1cc(O)c(O)c(O)c1,-1.24,<rdkit.Chem.rdchem.Mol object at 0x15206cca8740>,13
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.8,<rdkit.Chem.rdchem.Mol object at 0x15206cca87b0>,22
O=c1[nH]c2cc(Cl)ccc2o1,-2.8310000000000004,<rdkit.Chem.rdchem.Mol object at 0x15206cca8820>,11
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92,<rdkit.Chem.rdchem.Mol object at 0x15206cca8890>,19
O=C1NC(=O)C(=O)C(=O)N1,-1.25,<rdkit.Chem.rdchem.Mol object at 0x15206cca8900>,10
ClCCCCl,-1.62,<rdkit.Chem.rdchem.Mol object at 0x15206cca8970>,5
Fc1cccc(Br)c1,-2.67,<rdkit.Chem.rdchem.Mol object at 0x15206cca89e0>,8
Clc1ccc(Br)cc1,-3.63,<rdkit.Chem.rdchem.Mol object at 0x15206cca8a50>,8
CC(C)C(C)C,-3.65,<rdkit.Chem.rdchem.Mol object at 0x15206cca8ac0>,6
C=CCC,-1.94,<rdkit.Chem.rdchem.Mol object at 0x15206cca8b30>,4
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,<rdkit.Chem.rdchem.Mol object at 0x15206cca8ba0>,18
Nc1cc[nH]c(=O)n1,-1.155,<rdkit.Chem.rdchem.Mol object at 0x15206cca8c10>,8
FC(F)(Cl)C(F)(Cl)Cl,-3.04,<rdkit.Chem.rdchem.Mol object at 0x15206cca8c80>,8
CCC#N,0.28,<rdkit.Chem.rdchem.Mol object at 0x15206cca8cf0>,4
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51,<rdkit.Chem.rdchem.Mol object at 0x15206cca8d60>,18
